"date","url","title","author","backlink","type","subject","internal","others"
"9/20/2017","https://bitcoinmagazine.com/articles/decred-adds-atomic-swap-support-exchange-free-cryptocurrency-trading/","Decred Adds Atomic Swap Support for Exchange-Free Cryptocurrency Trading","Giulio Prisco","Yes",,,,
"9/20/2017","https://bravenewcoin.com/news/decred-technical-analysis-continuing-upward-momentum/","Decred Technical Analysis - Continuing upward momentum","Josh Olszewicz","Yes",,,,
"9/20/2017","http://www.nasdaq.com/article/decred-adds-atomic-swap-support-for-exchange-free-cryptocurrency-trading-cm848329","Decred Adds Atomic Swap Support for Exchange-Free Cryptocurrency Trading","Giulio Prisco","Yes",,,,
"9/21/2017","http://ethereumworldnews.com/litecoin-decred-complete-first-ever-cross-chain-atomic-swap-major-step-ltc-cryptocurrencies/","Litecoin And Decred Complete First Ever Cross-Chain Atomic Swap: Major Step For LTC And Cryptocurrencies",,"No",,,,
"9/21/2017","https://themerkle.com/developers-complete-first-ever-atomic-swap-between-litecoin-and-decred/","Developers Complete First-Ever Atomic Swap Between Litecoin and Decred","JP Buntinx","No",,,,
"9/22/2017","https://themerkle.com/what-is-smartbridge/","What Is SmartBridge?","JP Buntinx","No",,,,
"9/23/2017","https://btcmanager.com/first-atomic-swap-between-litecoin-decred-complete/","First-Ever Atomic Cross-Blockchain Swap Between Litecoin and Decred Completed","Joseph Young","Yes",,,,
"9/24/2017","https://cointelegraph.com/news/segwit-first-steps-to-ecosystem","SegWit: First Steps To Ecosystem","Guest Writer","No",,,,
"9/25/2017","https://bitcointechtalk.com/atomic-swaps-d6ca26b680fe","Atomic Swaps","Jimmy Song","Yes",,,,
"9/25/2017","http://invezz.com/news/crypto/27365-Litecoin-price-LTCUSD-posts-modest-gains-in-early-Monday-trading","Litecoin price (LTC/USD) posts modest gains in early Monday trading","Dimitar Bogdanov","No",,,,
"9/26/2017","https://cryptoinsider.com/atomic-swaps-bitcoin/","Atomic Swaps: How this affects Bitcoin","Jimmy Song","Yes",,,,
"9/26/2017","https://cryptovest.com/news/cryptocurrency-atomic-swap-spree-brings-industry-closer-to-decentralized-dream/","Cryptocurrency Atomic Swap Spree Brings Industry Closer to Decentralized Dream","Michael Kimani","Yes",,,,
"9/28/2017","https://bitcoinmagazine.com/articles/how-decentralized-exchanges-make-bitcoin-more-resilient-and-us-more-free/","How Decentralized Exchanges Make Bitcoin More Resilient (and Us More Free)","Giulio Prisco","No",,,,
"9/29/2017","https://www.forbes.com/sites/wwoo/2017/09/29/is-bitcoin-in-a-bubble-check-the-nvt-ratio/","Is Bitcoin In A Bubble? Check The NVT Ratio","Willy Woo","No",,,,
"10/8/2017","http://www.nigeriatoday.ng/2017/10/altcoin-exchange-performs-first-atomic-swap-between-bitcoin-and-ethereum/","Altcoin Exchange Performs First Atomic Swap Between Bitcoin and Ethereum",,"No",,,,
"10/15/2017","https://themerkle.com/viacoin-developers-complete-atomic-swap-with-litecoin/","Viacoin Developers Complete Atomic Swap With Litecoin","JP Buntinx","No",,,,
"10/19/2017","http://www.businessinsider.com/list-top-cryptocurrencies-analysis-comparison-2017-10","List of top virtual currencies in 2017 and what differentiates them","Divya Joshi","Yes",,,,
"10/23/2017","http://bitcoinist.com/atomic-swaps-what-they-are-how-they-work-and-what-they-mean-for-digital-currencies/","Atomic Swaps: What they are, how they work, and what they mean for digital currencies","Matthew Hrones","No",,,,
"10/26/2017","https://bitcoinmagazine.com/articles/decred-launches-proposal-system-advance-blockchain-governance/","Decred Launches Proposal System to Advance Blockchain Governance","Giulio Prisco","Yes",,,,
"10/26/2017","https://coinvedi.com/decred-launches-proposal-system-to-advance-blockchain-governance/","Decred Launches Proposal System to Advance Blockchain Governance","CoinVedi","No",,,,
"10/26/2017","https://cryptovest.com/news/decred-soon-mined-by-asic/","Decred: Soon Mined by ASIC","Christine Masters","No",,,,
"10/26/2017","http://www.nasdaq.com/article/decred-launches-proposal-system-to-advance-blockchain-governance-cm866078","Decred Launches Proposal System to Advance Blockchain Governance","Bitcoin Magazine","Yes",,,,
"10/26/2017","http://pumpsignals.net/blog/decred-launches-proposal-system-to-advance-blockchain-governance-2/","Decred Launches Proposal System to Advance Blockchain Governance",,"No",,,,
"10/26/2017","https://trading.co.uk/story/11f675a1-4a4c-4963-86c3-c022575f447e/","Decred Launches Proposal System to Advance Blockchain Governance",,"No",,,,
"10/29/2017","https://www.bitcoinmarketinsider.com/decred-launches-proposal-system-to-advance-blockchain-governance/","Decred Launches Proposal System to Advance Blockchain Governance",,"Yes",,,,
"10/30/2017","https://www.stickergiant.com/blog/custom-stickers-for-decred-an-open-and-progressive-cryptocurrency-based-on-blockchain/","Custom stickers for Decred, an open and progressive cryptocurrency based on blockchain","Andrew Matranga","Yes",,,,
"11/25/2017","https://btcmanager.com/beginners-guide-decred/","A Beginner's Guide to Decred","Jamie Holmes","Yes",,,,
"11/27/2017","https://cryptovest.com/news/decred-price-doubling-on-lightning-network-news/","Decred Price Doubling on Lightning Network News","Christine Masters","No",,,,
"12/10/2017","https://coincentral.com/decred-lowdown-decentralized-blockchain-governance/","What is Decred? The Lowdown on Decentralized Blockchain Governance","Bennett Garner","Yes",,,,
"12/18/2017","https://cointelegraph.com/news/avoiding-paralysis-comparative-analysis-of-community-governance-in-digital-currencies","Avoiding Paralysis: Comparative Analysis of Community Governance in Digital Currencies","Frisco d'Anconia","No",,,,
"1/25/2018","https://www.bitsonline.com/tnabc-miami-2018-decred-marco-peereboom/","TNABC Miami 2018 Video Report: How Decred Works, With Marco Peereboom","Jon Southurst","No",,,,
"2/21/2018","https://btcmanager.com/decreds-politeia-challenge-overview-winners/","Decred's Politeia Challenge: An Overview of the Winners","Jamie Holmes","Yes",,,,
"2/23/2018","https://www.businessinsider.com.au/york-butter-factory-melbourne-tech-hub-web-3-0-2018-2","York Butter Factory is launching a new 'world-first' tech hub for Web 3.0 in Melbourne","Simon Thomsen","No",,,,
"2/26/2018","https://cryptovest.com/news/decred-dcr-still-fighting-for-a-list-coin-status/","Decred (DCR) Still Fighting for A-List Coin Status","Christine Masters","No",,,,
"3/2/2018","https://www.investinblockchain.com/cryptocurrency-projects-march-2018/","Top 5 Cryptocurrency Projects to Watch in March 2018","Daniel Frumkin","Yes",,,,
"3/4/2018","https://coincentral.com/decred-unveils-2018-roadmap-decentralized-exchanges-privacy-features/","Decred Unveils 2018 Roadmap: Decentralized Exchanges, Privacy Features, & More","Alex Moskov","Yes",,,,
"3/12/2018","https://usethebitcoin.com/what-is-decred-all-you-need-to-know/","What is Decred (DCR)? All You Need To Know","Jide Idowu","Yes",,,,
"3/13/2018","https://cryptoslate.com/introduction-decred-autonomous-digital-currency/","An Introduction to Decred - Autonomous Digital Currency","Jacob Tuwiner","Yes",,,,
"3/15/2018","https://bitcoinmagazine.com/articles/decred-sets-its-sights-decentralization-2018/","Decred Sets Its Sights on Decentralization in 2018","Amy Castor","Yes",,,,
"4/9/2018","https://sludgefeed.com/decred-looks-ahead-an-interview-with-project-lead-jake-yocom-piatt/","Decred Looks Ahead: An Interview with Project Lead Jake Yocom-Piatt (Exclusive)","Craig Russo","Yes",,,,
"4/10/2018","https://btcmanager.com/how-complex-bitcoin-politics-led-to-the-creation-of-decred/","How Complex Bitcoin Politics Led to the Creation of Decred","Alexander Lielacher","Yes",,,,
"4/15/2018","https://cryptoslate.com/interview-with-decreds-project-lead-jake-yocom-piatt-on-crypto-ad-bans-and-market-volatility/","Interview with Decred's Project Lead Jake Yocom-Piatt on Crypto Ad Bans and Market Volatility","Jacob Tuwiner","Yes",,,,
"4/16/2018","https://btcmanager.com/the-importance-of-governance-analyzing-the-aftermath-of-the-monero-hard-fork/","The Importance of Governance: Analyzing the Aftermath of the Monero Hard Fork","Noah Pierau","No",,,,
"4/25/2018","https://coinjournal.net/on-chain-vs-off-chain-governance-the-ins-and-outs/","On Chain VS. Off Chain Governance: The Ins And Outs","Alex T","Yes",,,,
"4/25/2018","http://www.hotstocked.com/article/94218/decred-dcr-price-boosted-to-87-83-can-it.html","Decred (DCR) Price Boosted to $87.83 - Can It Finally Stabilize Itself","Ana Sullivan","No",,,,
"4/25/2018","https://redfieldnews.com/investors-understand-decred-dcr/","Do Investors Understand Decred (DCR)?","Unknown","No",,,,
"4/26/2018","https://www.blockchaintechnology-news.com/2018/04/26/decred-on-true-decentralisation-bitcoin-communities-and-avoiding-the-ico-route-video/","Decred: On true decentralisation, Bitcoin communities, and avoiding the ICO route","James Bourne","No",,,,
